Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,844.0,18.0,78.0,844.0,0.1,44.90899999999999,0.0,0.0,86.35370016098022,,,,,,,,,,,,,,,,,,,,,17.1715319097789,14.012550818509947,43.65689063541744,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,870.0,19.0,26.0,870.0,0.1,11.605999999999995,0.0,0.0,89.4221625328064,,,,,,,,,,,,,,,,,,,,,3.432431636361732,4.00837638179555,11.539824887404519,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,912.0,20.0,42.0,912.0,0.1,15.50799999999999,0.0,0.0,93.91379308700562,,,,,,,,,,,,,,,,,,,,,3.9664085007919643,4.839959129650942,15.372139750327646,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,33.0,1.0,33.0,945.0,0.1,13.105999999999993,0.0,0.0,192.48415303230286,,,,,,,,,,,,,,,,,,,,,3.5818596888035565,4.2644564741213955,13.013813242942126,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,76.0,2.0,43.0,988.0,0.1,25.80600000000002,0.0,0.0,197.35294342041016,,,,,,,,,,,,,,,,,,,,,8.792608883400955,8.746721944205603,25.478850039242204,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,107.0,3.0,31.0,1019.0,0.1,13.804999999999994,0.0,0.0,201.08526301383972,,,,,,,,,,,,,,,,,,,,,4.173672283075408,4.570061733481448,13.703008473162516,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,147.0,4.0,40.0,1059.0,0.1,15.905999999999992,0.0,0.0,205.61674046516418,,,,,,,,,,,,,,,,,,,,,4.360806754326456,5.023984717907033,15.763078122994813,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,195.0,5.0,48.0,1107.0,0.1,30.80600000000002,0.0,0.0,210.89081645011902,,,,,,,,,,,,,,,,,,,,,10.936099604775016,10.394376604273567,30.341720317886256,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,232.0,6.0,37.0,1144.0,0.1,20.805000000000017,0.0,0.0,215.51402926445007,,,,,,,,,,,,,,,,,,,,,6.906297081809699,7.06566462479295,20.590627672690754,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,266.0,7.0,34.0,1178.0,0.1,15.005999999999993,0.0,0.0,219.2710418701172,,,,,,,,,,,,,,,,,,,,,4.302776567444182,4.973136684463761,14.889469646530314,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,357.0,8.0,91.0,1269.0,0.1,62.50599999999999,0.0,0.0,228.3399007320404,,,,,,,,,,,,,,,,,,,,,25.668975473114546,18.311937806031093,60.290644229761874,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,386.0,9.0,29.0,1298.0,0.1,14.105999999999995,0.0,0.0,231.81766939163208,,,,,,,,,,,,,,,,,,,,,4.3547522924155375,4.849412470655895,14.007713603012375,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,496.0,10.0,110.0,1408.0,0.1,70.60600000000002,0.0,0.0,242.8476710319519,,,,,,,,,,,,,,,,,,,,,26.058076203811886,20.64712664450459,67.87529433094828,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,543.0,11.0,47.0,1455.0,0.1,30.805000000000017,0.0,0.0,247.84175443649292,,,,,,,,,,,,,,,,,,,,,11.16778493459746,10.37997159919761,30.340765297904433,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,577.0,12.0,34.0,1489.0,0.1,16.206000000000007,0.0,0.0,251.85859560966492,,,,,,,,,,,,,,,,,,,,,5.001981559695489,5.382509594735024,16.06805266424619,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,642.0,13.0,65.0,1554.0,0.1,40.105999999999995,0.0,0.0,258.49027371406555,,,,,,,,,,,,,,,,,,,,,15.75097839987486,12.267989245290531,39.16046817989976,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,674.0,14.0,32.0,1586.0,0.1,14.405999999999993,0.0,0.0,262.57099199295044,,,,,,,,,,,,,,,,,,,,,4.178622394008896,4.840286372153335,14.300871525571333,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,739.0,15.0,65.0,1651.0,0.1,37.108,0.0,0.0,269.09725189208984,,,,,,,,,,,,,,,,,,,,,13.033662222642551,11.870048917090172,36.33344250709992,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,784.0,16.0,45.0,1696.0,0.1,23.206000000000024,0.0,0.0,274.25051403045654,,,,,,,,,,,,,,,,,,,,,7.124466894988756,7.668096204194755,22.931238535558084,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,831.0,17.0,47.0,1743.0,0.1,17.80800000000003,0.0,0.0,279.09208130836487,,,,,,,,,,,,,,,,,,,,,5.064656434583371,5.498093460013906,17.605153850120974,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,914.0,18.0,83.0,1826.0,0.1,51.705999999999996,0.0,0.0,287.38595151901245,,,,,,,,,,,,,,,,,,,,,20.700217010827163,16.408267061970104,50.0880079159253,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,944.0,19.0,30.0,1856.0,0.1,14.605999999999995,0.0,0.0,291.4111466407776,,,,,,,,,,,,,,,,,,,,,4.526846200680931,4.98353255297366,14.499178471744592,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,975.0,20.0,31.0,1887.0,0.1,13.805999999999994,0.0,0.0,295.0220727920532,,,,,,,,,,,,,,,,,,,,,4.037910225958359,4.630848852492641,13.708227529827418,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,86.0,1.0,86.0,1973.0,0.1,50.006,0.0,0.0,403.2128403186798,,,,,,,,,,,,,,,,,,,,,18.181125109455007,15.279289580068815,48.53945360834996,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,141.0,2.0,55.0,2028.0,0.1,28.610000000000028,0.0,0.0,409.0588345527649,,,,,,,,,,,,,,,,,,,,,8.616126375340487,9.37874155835588,28.192469796479433,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,178.0,3.0,37.0,2065.0,0.1,19.30700000000002,0.0,0.0,413.4624698162079,,,,,,,,,,,,,,,,,,,,,5.996659051572878,6.570685516963362,19.123351194128873,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,300.0,4.0,122.0,2187.0,0.1,59.40500000000005,0.0,0.0,425.13603591918945,,,,,,,,,,,,,,,,,,,,,26.31232973570517,16.79580931332957,56.307454373536686,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,401.0,5.0,101.0,2288.0,0.1,75.606,0.0,0.0,435.06933760643005,,,,,,,,,,,,,,,,,,,,,31.80276986515917,22.378529712118393,72.538925555805,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,504.0,6.0,103.0,2391.0,0.1,70.10499999999999,0.0,0.0,444.89787006378174,,,,,,,,,,,,,,,,,,,,,27.771204599317656,20.318681981601376,67.37925706113552,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,784.0,7.0,280.0,2671.0,0.1,184.10999999999996,0.0,0.0,470.2805323600769,,,,,,,,,,,,,,,,,,,,,81.05477495083773,47.88412745454616,161.7379772302488,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,861.0,8.0,77.0,2748.0,0.1,37.50600000000003,0.0,0.0,478.06850361824036,,,,,,,,,,,,,,,,,,,,,10.640117294415289,11.735519371868333,36.76019459733008,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,971.0,9.0,110.0,2858.0,0.1,54.30600000000003,0.0,0.0,488.6274392604828,,,,,,,,,,,,,,,,,,,,,19.521559063424316,14.98429635033463,52.263102444810485,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,1091.0,10.0,120.0,2978.0,0.1,82.30599999999998,0.0,0.0,500.08082842826843,,,,,,,,,,,,,,,,,,,,,34.31079785931512,23.952840007453627,78.34531654465493,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,1171.0,11.0,80.0,3058.0,0.1,46.706999999999994,0.0,0.0,508.1582200527191,,,,,,,,,,,,,,,,,,,,,18.40821236903248,13.81605682658309,45.324947580691216,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1207.0,12.0,36.0,3094.0,0.1,20.606000000000016,0.0,0.0,512.6047568321228,,,,,,,,,,,,,,,,,,,,,6.926496108779163,7.044780386754442,20.397420583831032,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1290.0,13.0,83.0,3177.0,0.1,38.807000000000016,0.0,0.0,520.9758410453796,,,,,,,,,,,,,,,,,,,,,14.535288441124374,10.632805795899483,37.67588515380914,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1316.0,14.0,26.0,3203.0,0.1,11.105999999999995,0.0,0.0,524.2566468715668,,,,,,,,,,,,,,,,,,,,,3.240987025010736,3.7936717307964445,11.043810915369546,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1433.0,15.0,117.0,3320.0,0.1,85.708,0.0,0.0,535.5731751918793,,,,,,,,,,,,,,,,,,,,,36.54629336657454,25.381138366714012,81.59519246585,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1468.0,16.0,35.0,3355.0,0.1,14.907999999999992,0.0,0.0,539.4688539505005,,,,,,,,,,,,,,,,,,,,,4.102683270839934,4.9379741853022825,14.793979250041438,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1498.0,17.0,30.0,3385.0,0.1,14.605999999999995,0.0,0.0,543.3816802501678,,,,,,,,,,,,,,,,,,,,,4.526846200680931,4.98353255297366,14.499178471744592,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1546.0,18.0,48.0,3433.0,0.1,25.108000000000025,0.0,0.0,548.4640908241272,,,,,,,,,,,,,,,,,,,,,7.6544364077095395,8.331147143392934,24.790142547382157,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1615.0,19.0,69.0,3502.0,0.1,43.307,0.0,0.0,555.4353468418121,,,,,,,,,,,,,,,,,,,,,14.788478178099538,14.202490873994654,42.37129522486563,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1792.0,20.0,177.0,3679.0,0.1,77.10499999999992,0.0,0.0,571.9908668994904,,,,,,,,,,,,,,,,,,,,,28.82526217225297,18.32849491596164,72.14715074986024,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
